key,static_reference_count
last_df,111
symbol,94
timeframe,84
source,82
home_inner_tab,46
account_snapshot,40
phone_mode,37
dv_pp_predicted,35
tab_choice,34
dv_pp_df,31
dv_pp_bt_summary,31
active_page,31
lunch_bi_visual_ready,30
dv_pp_base_result,28
dv_pp_regime_summary,26
ui_navigation_click_ts,26
metric_run_calculate,24
lunch_visualization_export,24
ai_lite_messages,24
connected,22
lunch_5layer_powerbi_result,21
connector_mode,19
regime_context_20260614,18
home_reversal_25d_scan,17
lunch_5layer_powerbi_df,17
dv_pp_bt_hist,17
lunch_copy_payload_signature,16
twelve_api_key,16
final_merged_intelligence_pack_20260612,15
lunch_force_reversal_scan,14
dv_pp_regime_hist,14
doo_bridge_url,14
doo_bridge_token,13
data_version,12
eurusd_h1_matrix_export,12
fast_tab_switch_active,11
active_subpage,11
last_fetch,11
connector_bars,11
last_reversal_engine,11
allow_safe_demo,10
lunch_metric_result_signature,9
lunch_prediction_export,9
technical_logic_upgrade_lunch_v20260611,9
technical_logic_upgrade_v20260611,9
ai_lite_last_copy_payload,9
final_synced_research_merge_pack_20260612,9
doo_prime_inner_tab,8
research_pack_20260612,8
canonical_decision_result,8
research_export_20260612,8
mobile_app_big_mode_20260612,8
doo_prime_compact_controls,8
research_run_calculate,8
reliability_control_center_20260614,8
nylo_unified_home_sync_20260612,8
risk_mode,8
lunch_metric_result_cache,7
dv_pp_rows,7
dv_pp_horizon,7
dv_pp_min_days,7
dv_pp_bt,7
dv_pp_lightblue_path,7
dv_pp_sig,7
research_inner_tab,7
doo_positions,7
doo_deep_results,7
home_copy_export_text,6
dv_pp_projection_history,6
canonical_decision_result_20260617,6
last_reversal_score,6
reversal_score,6
trade_history,6
doo_live_account_snapshots,6
final_merged_intelligence_export_20260612,6
dv_news_nlp_pack_20260612,6
final_synced_research_merge_export_20260612,6
profile_name,6
lunch_metric_result_built_at,5
lunch_show_full_metric_details,5
activity_log,5
new7_auth_guest,5
new7_auth_email,5
causal_quant_support_20260618,5
advanced_efficiency_metrics_20260611,5
ai_lite_last_answer_summary_20260614,5
dv_pp_horizon_v6,5
profile_goal,5
profile_min_margin_level,5
setting_risk_active,5
settings_calculation_lock_20260617,4
lunch_copy_payload_cache,4
lunch_run_visualization,4
lunch_regime_history,4
lunch_bi_visual_sig,4
lunch_major_regime_summary,4
lunch_major_regime_history,4
lunch_major_regime_forecast,4
current_regime,4
run_data_visualization_antd_20260615,4
last_code_quality_report,4
custom_h1_df,4
custom_m1_df,4
system_boot_id,4
system_boot_time,4
new7_auth_logged_in,4
sidebar_timer_end,4
pro_quality_report,4
shared_connection_epoch,4
ai_lite_question_memory,4
ai_lite_answer_memory,4
reliability_dynamic_priority_table_20260614,4
app_logged_in_20260612,4
app_login_user_20260612,4
dv_nlp_finnhub_key_saved,4
dv_nlp_fmp_key_saved,4
dv_pp_min_days_v6,4
dv_research_alignment_export_20260612,4
dv_quant_structure_pack_20260612,4
research_finnhub_key,4
research_fmp_key,4
doo_stopout_level,4
other_run_calculate,4
notes,4
profile_max_positions,4
setting_exit_alerts,4
main_menu_copy_hint_20260615,4
show_ui_health_check,4
calculation_staging_ohlc_df_20260617,3
last_data_quality,3
lunch_merge_global_status_20260612,3
ws_enabled,3
system_events,3
app_cycle,3
api_health,3
tab_timing,3
auth_mode,3
timer_minutes,3
adx,3
regime_standard_table_20260617,3
canonical_decision_attempt_20260617,3
powerbi_calibrated_bundle_20260617,3
research_calibration_20260618,3
advanced_reliability_shift_20260620,3
ui_active_path,3
new7_native_sidebar_status_20260614,3
ai_lite_last_recognition,3
lunch_red_projection_horizon_20260615,3
app_guest_mode_20260612,3
nylo_start_hour_final,3
dv_pp_rows_v6,3
yellow_horizon_v6,3
dv_pp_bt_v6,3
ny_london_overlap_hourly_history_v4,3
ny_london_overlap_hourly_summary_v4,3
ny_london_overlap_hourly_history_v5,3
ny_london_overlap_hourly_summary_v5,3
ny_london_overlap_hourly_history_v6,3
ny_london_overlap_hourly_summary_v6,3
doo_deep_last_refresh,3
doo_prime_lazy_section_home,3
nylo_unified_home_sync_text_20260612,3
setting_auto_entry,3
risk_percent,3
home_copy_export_built_at,2
lunch_bi_rows_limit,2
lunch_bi_horizon,2
lunch_5layer_powerbi_sig,2
lunch_bi_rows_limit_v2,2
lunch_bi_horizon_v2,2
major_regime_min_days,2
last_valid_canonical_decision_result_20260617,2
shared_sync_last_rerun_identifier_20260617,2
shared_sync_calls_this_rerun_20260617,2
deferred_auto_refresh_reason,2
logic_first_mobile_20260618,2
new7_main_menu_drawer_open,2
menu_open,2
last_light_maintenance_ts,2
ws_provider,2
ws_url,2
future_safety_guard_ready,2
future_mobile_css_loaded,2
finnhub_widget_generation,2
v21_popup,2
last_connection_message,2
new7_auth_page_active_20260617,2
sidebar_timer_minutes,2
sidebar_timer_alerted,2
last_quality_persist_ts,2
last_adx,2
pro_terminal_market_mode,2
mini_bias,2
trust,2
adx_shared_calc_result_20260615,2
shared_calc_result,2
regime_data_not_ready_reason_20260617,2
canonical_regime_snapshot_20260617,2
research_validation_diagnostic_20260621,2
data_quality_disabled_models_20260617,2
regime_standard_detail_tables_published_20260618,2
multiscale_probabilistic_upgrade_20260618,2
research_risk_stack_20260619,2
similar_day_intelligence_20260619,2
last_completed_h1_row_count_20260621,2
settings_run_status_20260617,2
startup_route_initialized_20260617,2
_qx_effect_css_loaded,2
ui_popup_queue,2
ui_navigation_target,2
ui_last_inner,2
ui_transition_active,2
ui_transition_ts,2
shared_connection_signature,2
sidebar_close_requested_native_only,2
doo_prime_mt5_bars,2
doo_prime_sync_to_shared,2
doo_prime_lazy_section_account,2
load_original_powerbi_from_antd_lunch_20260615,2
dinner_load_original_advanced_details_20260614,2
dinner_default_inner_tab,2
app_login_pass_20260612,2
dv_news_nlp_export_text_20260612,2
dv_news_nlp_cache_20260612,2
dv_quant_structure_export_text_20260612,2
dv_research_alignment_pack_20260612,2
dv_two_section_error_20260611,2
dv_two_section_ready_20260611,2
engine_gpt_export_text,2
engine_gpt_export_built_at,2
engine_pro_history,2
engine_pro_export_text,2
engine_pro_export_at,2
eurusd_h1_run_calc,2
final_filtered_history_Lunch,2
final_priority_history_Lunch,2
three_center_priority_sorted_20260614,2
dynamic_priority_dataframe_patch_installed_20260614,2
finder_alignment_pack,2
powerbi_visual_control_center,2
regime_history_table_Lunch,2
dv_efficiency_summary,2
doo_deep_auto_fetch,2
doo_fast_collect_key,2
doo_fast_collect_df,2
doo_fast_features_key,2
doo_fast_features_df,2
knn_priority_dataframe_patch_installed_20260611,2
merged_powerbi_6h_metrics_20260612,2
merged_status_models_20260612,2
other_inner_tab,2
risk_balance,2
training_df,2
train_max_memory_rows,2
master_regime,1
canonical_priority_table_20260617,1
nlp_market_intelligence_result,1
adx_shared_calc_signature_20260615,1
adx_reliability_calibrated_20260615,1
adx_prediction_feedback_20260615,1
adx_regime_alpha_delta_20260615,1
adx_ai_grounding_20260615,1
adx_hourly_priority_calibrated_20260615,1
app_rerun_identifier_20260617,1
adx_shared_calc_error_20260615,1
page_status_relationship_snapshot_20260612,1
refresh_seconds,1
secure_startup_error_20260619,1
use_native_sidebar_fallback_20260619,1
compact_liquid_app_shell_20260615,1
ten_min_refresh_disabled_reason_20260617,1
last_connection_rows,1
data_version_source,1
connector_last_signature,1
ws_ticks,1
ws_symbol,1
finnhub_clear_widget_pending,1
last_manual_ui_refresh,1
uiux_density,1
last_connection_error,1
tab_runtime_current,1
system_snapshot_autosave,1
last_runtime_snapshot_saved,1
new7_auth_login_ts,1
nlp_related_news_priority_table_20260615,1
nlp_related_news_priority_window_days_20260617,1
active_tab,1
synced_current_decision_20260617,1
data_source,1
selected_source,1
selected_ohlc_source_key_20260617,1
selected_ohlc_latest_time_20260617,1
regime_window_analytics_20260618,1
dv_pp_predicted_calibrated_20260617,1
regime_standard_detail_tables_20260617,1
similar_day_technical_error_20260619,1
regime_transition_trust_center_20260621,1
history_quality_mobile_diagnostic_20260621,1
settled_trust_summary_20260619,1
full_metric_authority_20260618,1
canonical_completed_ohlc_df_20260617,1
settings_run_complete_20260617,1
future_safety_last_check,1
streamlit_compat_installed_20260615,1
shared_df,1
quant_control_center_snapshot_20260612,1
uiux_mobile_hint_seen,1
ui_last_tab,1
ui_show_command_bar,1
timer_end_time,1
trade_end_time,1
doo_prime_market_df,1
doo_prime_mt5_timeframe,1
doo_prime_last_connect_status,1
knn_priority_latest,1
ai_lite_last_context,1
three_center_priority_summary_20260614,1
lunch_red_projection_fallback_20260615,1
lunch_local_login_panel_hidden_20260614,1
dv_two_horizon,1
engine_shared_rows,1
backtest_features,1
combined_original_backtest_raw_df,1
combined_original_backtest_source,1
combined_original_backtest_symbol,1
combined_original_backtest_last_load,1
move_lunch_addons_into_nylo_20260612,1
final_lunch_addons_moved_20260612,1
move_dv_addons_into_nylo_20260612,1
final_dv_addons_moved_20260612,1
dynamic_priority_patch_active_20260614,1
ny_london_overlap_history,1
ny_london_overlap_summary,1
nylo_days_v4,1
nylo_start_h_v4,1
nylo_end_h_v4,1
nylo_days_v5,1
nylo_start_h_v5,1
nylo_end_h_v5,1
yellow_horizon_v5,1
nylo_days_v6,1
nylo_start_h_v6,1
home_cmd_last_auto_save,1
home_lazy_section,1
last_close,1
pressure,1
margin_level_pct,1
doo_margin_level,1
last_data_signature,1
doo_symbol,1
selected_symbol,1
doo_timeframe,1
selected_timeframe,1
phase_transition_8plus_scan,1
merged_nylo_days_20260612,1
merged_nylo_start_20260612,1
lunch_prediction_moved_to_nylo_sync_20260612,1
lunch_copy_center_moved_to_nylo_sync_20260612,1
training_rows,1
profile_max_risk_pct,1
profile_risk_checklist_last_auto_save,1
profile_trade_journal_auto_save,1
profile_settings_last_auto_save,1
profile_daily_max_loss,1
profile_today_exit_rule,1
profile_today_invalidation,1
reliability_last_forecast_built_at,1
risk_sl_pips,1
risk_pip_value,1
train_last_auto_db_save_time,1
train_exit_horizon,1
train_exit_adverse_atr,1
train_exit_favorable_atr,1
train_horizon,1
train_min_move_atr,1
train_refresh_seconds,1
lunch_active_subpage,1
dinner_active_subpage,1
research_active_subpage,1
